symbol,timestamp,open,high,low,close,volume,trade_count,vwap
BTC/USD,2022-09-01 05:00:00+00:00,20055.79,20292.0,19564.86,20156.76,7141.975485,110122.0,19934.1678446199
BTC/USD,2022-09-02 05:00:00+00:00,20156.76,20444.0,19757.72,19919.47,7165.911879,96231.0,20075.2008677126
BTC/USD,2022-09-03 05:00:00+00:00,19924.83,19968.2,19658.04,19806.11,2677.652012,51551.0,19800.1854803241
BTC/USD,2022-09-04 05:00:00+00:00,19805.39,20058.0,19587.86,19888.67,4325.67879,62082.0,19834.4514137038
BTC/USD,2022-09-05 05:00:00+00:00,19888.67,20180.5,19635.96,19760.56,6274.552824,84784.0,19812.0959815687
BTC/USD,2022-09-06 05:00:00+00:00,19761.39,20026.91,18534.06,18724.59,11217.789784,128106.0,19266.8355201911
